month,street,direction,from_intersection,to_intersection,day_type,time_period,baseline_travel_time,average_travel_time
Dec '17,Bathurst,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),5.3,5.0
Dec '17,Bathurst,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),4.2,4.0
Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),10.6,10.3
Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.7,11.4
Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),13.2,13.3
Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),13.7,15.2
Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),13.3,13.0
Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),12.9,13.3
Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),8.8,8.2
Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,AM Peak (07:00-10:00),9.4,9.4
Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,Evening (19:00-23:00),12.3,11.6
Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,Midday (10:00-16:00),13.8,13.6
Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,PM Peak (16:00-19:00),15.1,14.7
Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Afternoon (12:00-17:00),13.9,13.3
Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Evening (17:00-23:00),14.1,13.6
Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Morning (08:00-12:00),9.4,9.0
Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),11.9,11.1
Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.5,11.2
Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),11.8,12.1
Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),17.3,17.1
Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),11.1,10.5
Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),12.4,11.9
Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),8.5,8.2
Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,AM Peak (07:00-10:00),9.0,8.7
Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,Evening (19:00-23:00),10.1,10.5
Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,Midday (10:00-16:00),9.7,10.5
Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,PM Peak (16:00-19:00),14.3,14.9
Dec '17,Front,Westbound,Yonge,Bathurst,Weekend,Afternoon (12:00-17:00),8.9,8.6
Dec '17,Front,Westbound,Yonge,Bathurst,Weekend,Evening (17:00-23:00),10.4,10.0
Dec '17,Front,Westbound,Yonge,Bathurst,Weekend,Morning (08:00-12:00),8.5,7.3
Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),4.1,3.7
Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),3.9,3.6
Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),6.0,6.3
Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),8.5,9.7
Dec '17,Jarvis,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),4.6,4.3
Dec '17,Jarvis,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),3.7,3.9
Dec '17,Jarvis,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),3.8,3.5
Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),4.7,4.2
Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),4.5,4.3
Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.3,5.2
Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),4.8,4.6
Dec '17,Jarvis,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),4.5,4.5
Dec '17,Jarvis,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),4.3,4.5
Dec '17,Jarvis,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),3.8,3.6
Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),11.3,12.0
Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.6,13.1
Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),14.0,15.9
Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),16.4,18.4
Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),14.5,14.2
Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),13.1,14.3
Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),9.5,9.2
Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,AM Peak (07:00-10:00),10.5,10.5
Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,Evening (19:00-23:00),11.7,12.1
Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,Midday (10:00-16:00),12.5,14.4
Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,PM Peak (16:00-19:00),15.3,15.8
Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekend,Afternoon (12:00-17:00),13.6,13.5
Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekend,Evening (17:00-23:00),12.6,13.7
Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekend,Morning (08:00-12:00),8.6,8.9
Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,AM Peak (07:00-10:00),8.8,8.2
Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,Evening (19:00-23:00),8.1,8.6
Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,Midday (10:00-16:00),11.4,11.7
Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,PM Peak (16:00-19:00),14.5,14.0
Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekend,Afternoon (12:00-17:00),8.2,8.8
Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekend,Evening (17:00-23:00),8.2,9.4
Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekend,Morning (08:00-12:00),6.3,6.5
Dec '17,Spadina,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),5.4,5.4
Dec '17,Spadina,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),6.8,6.1
Dec '17,Spadina,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),7.2,7.1
Dec '17,Spadina,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),12.1,9.2
Dec '17,Spadina,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),6.9,6.5
Dec '17,Spadina,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),6.7,5.8
Dec '17,Spadina,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),5.1,5.1
Dec '17,Spadina,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),5.8,5.4
Dec '17,Spadina,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),6.5,6.3
Dec '17,Spadina,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),7.1,7.7
Dec '17,Spadina,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),7.8,8.0
Dec '17,Spadina,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),8.1,7.1
Dec '17,Spadina,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),6.9,6.3
Dec '17,Spadina,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),5.9,5.0
Dec '17,University,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),3.0,3.3
Dec '17,University,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),4.2,4.7
Dec '17,University,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),4.8,5.0
Dec '17,University,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),9.8,8.4
Dec '17,University,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),3.0,3.4
Dec '17,University,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),3.6,4.0
Dec '17,University,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),2.8,3.1
Dec '17,University,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),8.4,7.5
Dec '17,University,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),4.5,4.9
Dec '17,University,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.4,5.4
Dec '17,University,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),5.1,5.3
Dec '17,University,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),4.0,4.2
Dec '17,University,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),4.4,4.8
Dec '17,University,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),3.3,3.7
Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,AM Peak (07:00-10:00),8.4,8.4
Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,Evening (19:00-23:00),7.5,7.5
Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,Midday (10:00-16:00),9.0,8.8
Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekday,PM Peak (16:00-19:00),10.9,10.6
Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekend,Afternoon (12:00-17:00),9.0,8.5
Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekend,Evening (17:00-23:00),7.3,7.6
Dec '17,Wellington,Westbound,Jarvis,Blue Jays,Weekend,Morning (08:00-12:00),7.5,7.1
Dec '17,Yonge,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),5.4,5.2
Dec '17,Yonge,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),7.3,6.3
Dec '17,Yonge,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),7.0,7.0
Dec '17,Yonge,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),9.8,9.7
Dec '17,Yonge,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),6.8,7.0
Dec '17,Yonge,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),6.2,6.8
Dec '17,Yonge,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),4.9,4.9
Dec '17,Yonge,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),6.9,5.6
Dec '17,Yonge,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),6.8,6.6
Dec '17,Yonge,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),8.3,7.6
Dec '17,Yonge,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),8.1,8.0
Dec '17,Yonge,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),8.1,7.5
Dec '17,Yonge,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),7.6,7.6
Dec '17,Yonge,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),5.3,4.9
Jan '18,Bathurst,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),5.1,4.8
Jan '18,Bathurst,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),5.2,4.6
Jan '18,Bathurst,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),4.9,4.5
Jan '18,Bathurst,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),7.0,5.7
Jan '18,Bathurst,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),4.7,4.5
Jan '18,Bathurst,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),5.0,4.5
Jan '18,Bathurst,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),4.1,3.7
Jan '18,Bathurst,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),5.3,5.6
Jan '18,Bathurst,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),5.4,4.9
Jan '18,Bathurst,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.6,5.5
