centreline_id,lf_name,from_to,dir,datetime_bin,volume
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 01:00:00,16
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 18:30:00,82
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 03:15:00,26
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 18:45:00,78
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 01:15:00,16
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 19:00:00,79
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 03:00:00,22
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 19:15:00,77
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 01:30:00,21
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 19:30:00,68
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 02:45:00,8
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 19:45:00,62
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 01:45:00,16
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 04:30:00,6
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 02:30:00,13
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 20:00:00,66
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 02:00:00,11
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 20:15:00,51
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 02:15:00,29
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 20:30:00,41
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 02:15:00,12
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 20:45:00,50
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 02:00:00,28
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 21:00:00,46
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 02:30:00,13
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 21:15:00,45
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 01:45:00,27
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 21:30:00,38
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 02:45:00,9
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 04:15:00,9
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 01:30:00,29
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 04:00:00,6
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 03:00:00,7
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 00:15:00,31
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 01:15:00,38
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 00:00:00,23
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 03:15:00,14
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 11:45:00,61
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 01:00:00,37
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 20:30:00,28
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 03:30:00,8
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 20:15:00,31
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 00:45:00,44
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 20:00:00,32
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 03:45:00,7
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 19:45:00,38
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 00:30:00,47
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 19:30:00,26
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 04:00:00,8
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 19:15:00,33
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 00:15:00,44
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 19:00:00,28
